Ana,Smith,1500,false,2023-11-01,2023-11-10,None
Bob,Johnson,2000,true,2023-12-05,2023-12-15,NotBreakfast
Charlie,Brown,1200,true,2023-09-15,2023-09-20,WiFi
David,Miller,1800,false,2023-10-10,2023-10-20,Extrapillows
Eva,White,2500,true,2024-02-01,2024-02-10,LatecheckOut
Frank,Taylor,1600,false,2023-08-15,2023-08-25,ChildCot
Grace,Davis,2100,true,2023-06-01,2023-06-10,None
Henry,Brown,1300,true,2023-04-15,2023-04-20,Parking
Pedro,Johnson,1900,false,2023-07-01,2023-07-10,None
Jose,Smith,2200,true,2023-05-15,2023-05-25,SpecialDiet
